pilot_bucket,expected,task_id,onet_soc_code,occupation_title,task_text,task_type,domain_source,task_date,survey_date
A_expected_high,all four criteria near 2; composite high,3399,13-2031.00,Budget Analysts,Summarize budgets and submit recommendations for the approval or disapproval of funds requests.,Core,Incumbent,08/2024,08/2024
A_expected_high,all four criteria near 2; composite high,8966,15-2041.00,Statisticians,"Develop and test experimental designs, sampling techniques, and analytical methods.",Core,Occupational Expert,08/2024,08/2024
A_expected_high,all four criteria near 2; composite high,21534,13-2011.00,Accountants and Auditors,"Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.",Unrated,Analyst,11/2020,
A_expected_high,all four criteria near 2; composite high,16259,15-2041.01,Biostatisticians,Design or maintain databases of biological data.,Core,Occupational Expert,08/2021,08/2021
A_expected_high,all four criteria near 2; composite high,4058,27-4032.00,Film and Video Editors,Review assembled films or edited videotapes on screens or monitors to determine if corrections are necessary.,Core,Incumbent,08/2020,08/2020
A_expected_high,all four criteria near 2; composite high,21521,13-2011.00,Accountants and Auditors,"Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.",Core,Analyst - Transition,11/2020,
A_expected_high,all four criteria near 2; composite high,14707,15-1254.00,Web Developers,Write supporting code for Web applications or Web sites.,Core,Occupational Expert,07/2017,07/2017
A_expected_high,all four criteria near 2; composite high,14714,15-1254.00,Web Developers,Develop or implement procedures for ongoing Web site revision.,Core,Occupational Expert,07/2017,07/2017
A_expected_high,all four criteria near 2; composite high,4052,27-4032.00,Film and Video Editors,"Edit films and videotapes to insert music, dialogue, and sound effects, to arrange films into sequences, and to correct errors, using editing equipment.",Core,Incumbent,08/2020,08/2020
A_expected_high,all four criteria near 2; composite high,5434,13-1161.00,Market Research Analysts and Marketing Specialists,"Prepare reports of findings, illustrating data graphically and translating complex findings into written text.",Core,Occupational Expert,08/2018,08/2018
A_expected_high,all four criteria near 2; composite high,2493,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Code documents according to company procedures.,Core,Incumbent,07/2017,07/2017
A_expected_high,all four criteria near 2; composite high,1259,13-2041.00,Credit Analysts,"Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans.",Core,Occupational Expert,08/2020,08/2020
A_expected_high,all four criteria near 2; composite high,1313,15-1242.00,Database Administrators,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",Core,Incumbent,08/2023,08/2023
A_expected_high,all four criteria near 2; composite high,21667,15-1252.00,Software Developers,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",Core,Incumbent,08/2025,08/2025
A_expected_high,all four criteria near 2; composite high,16262,15-2041.01,Biostatisticians,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,Core,Occupational Expert,08/2021,08/2021
A_expected_high,all four criteria near 2; composite high,2501,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Calculate and prepare checks for utilities, taxes, and other payments.",Supplemental,Incumbent,07/2017,07/2017
A_expected_high,all four criteria near 2; composite high,21660,15-1243.00,Database Architects,"Write and code logical and physical database descriptions, and specify identifiers of database to management system or direct others in coding descriptions.",Core,Occupational Expert,08/2023,08/2023
A_expected_high,all four criteria near 2; composite high,21656,15-1243.00,Database Architects,Review project requests describing database user needs to estimate time and cost required to accomplish project.,Core,Occupational Expert,08/2023,08/2023
A_expected_high,all four criteria near 2; composite high,1269,15-1251.00,Computer Programmers,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Core,Incumbent,08/2018,08/2018
A_expected_high,all four criteria near 2; composite high,21101,15-2041.00,Statisticians,Prepare and structure data warehouses for storing data.,Supplemental,Occupational Expert,08/2024,08/2024
B_expected_low,Information Sufficiency = 0 (physical); composite gated to 0,13597,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Cut materials to specified sizes for installation, using power saws or tile cutters.",Core,Incumbent,07/2013,07/2013
